"","osm_id","name","railway","lon","lat"
"1","25453091","Oliveira","station",-8.1989863,41.2573611
"2","26212732","Villafranca de Navarra","station",-1.745439,42.2807416
"3","26230611","Castejón de Ebro","station",-1.6924387,42.1728682
"4","26240273",NA,NA,-9.2828497,38.7515335
"5","26240433",NA,NA,-9.2581998,38.7590806
"6","26240560",NA,NA,-9.2581056,38.7592851
"7","26242111",NA,NA,-9.2152828,38.7476568
"8","26377011","Tudela de Navarra","station",-1.5976655,42.0594993
"9","26377358","Ribaforada","station",-1.5154793,41.9970724
"10","26377361","Buñuel","station",-1.4873386,41.9716307
"11","26377368","Gallur","station",-1.3211682,41.8669337
"12","26382278","Guadalajara/Yebes","station",-3.1259778,40.5865167
"13","26837751","Etxarri Aranatz","station",-2.0717275,42.9109612
"14","29568804","Vitoria-Gasteiz","station",-2.672697,42.841303
"15","29784692","Betanzos-Infesta","station",-8.2259993,43.2708376
"16","29798284","Pinzales","station",-5.7195996,43.4865282
"17","29809208","Curtis","station",-8.1432221,43.1272797
"18","29888603","Lieres","station",-5.5826749,43.3805115
"19","30346207","Ferroñes","station",-5.8614792,43.4760582
"20","30502414","Fonciello-Tiñana (FEVE)","station",-5.7298196,43.3817536
"21","30502637","Nava","station",-5.5089696,43.3611921
"22","30502772","Ceceda (FEVE)","station",-5.4511084,43.3561454
"23","30502805","Carancos (FEVE)","station",-5.4345545,43.3553499
"24","30502980","Infiesto (FEVE)","station",-5.3691815,43.3518565
"25","30511197","San Martín","station",-5.6153125,43.2782989
"26","30511260","Sotrondio","station",-5.6048833,43.276024
"27","30546843","Peñaullan","station",-6.0939609,43.4911981
"28","30547241","Llamaquique","station",-5.8574394,43.3588118
"29","30547259","El Caleyo","station",-5.8728724,43.3291331
"30","30550675","Coḷḷanzo","station",-5.5663237,43.1240772
"31","30550728","Piñeres","station",-5.684337,43.1658983
"32","30550821","Mieres-Vasco","station",-5.7802197,43.2502509
"33","30550910","Soto Ribera","station",-5.8752416,43.3085554
"34","30550974","Trubia","station",-5.9676667,43.3486331
"35","30550977","Moreda","station",-5.7419089,43.1706329
"36","33246329","Penaranda de Bracamonte","station",-5.2068868,40.898061
"37","33360557","Baixa-Chiado","subway_entrance",-9.1390845,38.7106554
"38","34553460","Cazoña","station",-3.8404313,43.4542655
"39","34554401","Requejada","station",-4.0284828,43.3913403
"40","34554797","Sierrapando","station",-4.0263691,43.3417714
"41","35131941","Barreda","station",-4.0419932,43.37414
"42","36130230","Estación de Selgua","station",0.1484671,41.9059598
"43","36130273","Binefar","station",0.2914061,41.8497394
"44","36304203","Unquera","station",-4.5142048,43.3748869
"45","41178242","Solares","station",-3.7314683,43.387272
"46","46756926","Faro","station",-7.9398948,37.0185604
"47","54896516","Ribadesella","station",-5.0546619,43.4593911
"48","54944474","Nueva","station",-4.9354577,43.4405094
"49","55337705","Posada","station",-4.8652434,43.42508
"50","55634921","Llanes","station",-4.7591087,43.4209241
"51","55966630",NA,NA,-3.6833558,40.4725504
"52","55966634",NA,NA,-3.6838014,40.4717134
"53","55966636",NA,NA,-3.6834707,40.4716346
"54","55966637",NA,NA,-3.6836912,40.4711072
"55","55966639",NA,NA,-3.6823756,40.4707891
"56","55966640",NA,NA,-3.6820108,40.471662
"57","55966642",NA,NA,-3.6816596,40.4715771
"58","55966643",NA,NA,-3.681442,40.4720976
"59","55966645",NA,NA,-3.6811206,40.4720199
"60","55966647",NA,NA,-3.6809816,40.4723524
"61","56025184",NA,NA,-3.6838173,40.4717987
"62","56041919",NA,NA,-3.6830346,40.4733035
"63","58157938","Bulnes","station",-4.8233275,43.2382236
"64","58157942","Poncebos","station",-4.8303163,43.2576952
"65","59613809","Amaña","station",-2.4802593,43.1845581
"66","61101734","Venerque-Le-Vernet","station",1.4258905,43.4333417
"67","61104088","Luzenac-Garanou","station",1.7530942,42.7644232
"68","77812024",NA,NA,-3.6944505,40.5012325
"69","77812026",NA,NA,-3.6942352,40.5004825
"70","77812028",NA,NA,-3.6949061,40.5008537
"71","79715911","Fuencarral","station",-3.6821615,40.5015362
"72","81326544","Alagón","station",-1.1126082,41.7716254
"73","81326546","Cabañas de Ebro","station",-1.1684037,41.7883119
"74","100986804","Sant Isidre","station",-0.4026173,39.4510701
"75","126738949","C/ Xàtiva / Pl. San Agustín","subway_entrance",-0.3776238,39.4678139
"76","129612900","A Veiga","station",-7.0570814,43.4794576
"77","144731742",NA,NA,-3.6934906,40.4879154
"78","144731743",NA,NA,-3.6937416,40.4879191
"79","144731744",NA,NA,-3.6940434,40.4879073
"80","144731745",NA,NA,-3.6955612,40.4882818
"81","144731746",NA,NA,-3.6954833,40.4883704
"82","144731747",NA,NA,-3.6953657,40.488312
"83","144731748",NA,NA,-3.6953484,40.48833
"84","144731749",NA,NA,-3.6952326,40.4882674
"85","144731750",NA,NA,-3.6952111,40.488295
"86","144731751",NA,NA,-3.695093,40.4882238
"87","144731752",NA,NA,-3.6943202,40.4880646
"88","144731754",NA,NA,-3.6937524,40.4880398
"89","146311301",NA,NA,-9.172047,38.7861353
"90","153829180",NA,NA,-3.6937617,40.487944
"91","153829187",NA,NA,-3.6938319,40.4879443
"92","153829195",NA,NA,-3.693845,40.4879195
"93","153829203",NA,NA,-3.6939519,40.487922
"94","153829208",NA,NA,-3.6939737,40.487948
"95","153829214",NA,NA,-3.6940438,40.4879484
"96","153829220",NA,NA,-3.6947129,40.4879372
"97","153829227",NA,NA,-3.6949585,40.4880024
"98","153829235",NA,NA,-3.6950911,40.4880561
"99","153829241",NA,NA,-3.6953137,40.4881811
"100","153829249",NA,NA,-3.69535,40.4881669
"101","167269120",NA,NA,-9.3579931,38.6903211
"102","184051644","San Miguel de las Dueñas","station",-6.5239266,42.5865006
"103","186087656","Muxika","station",-2.6894431,43.2867715
"104","191262271","Sevilla - Santa Justa","station",-5.9752061,37.3920924
"105","194683237","San Vicente de la Barquera","station",-4.4045521,43.3677583
"106","194740791","Pamiers","station",1.619491,43.116213
"107","196129554","Cabezón de la Sal","station",-4.2317705,43.3078577
"108","196562395","San Pedro de Rudagüera","station",-4.1493354,43.3612306
"109","196671040","Puente San Miguel","station",-4.0877347,43.3587438
"110","202315596","La Bañeza","station",-5.905147,42.2981438
"111","213842230",NA,NA,2.0104274,41.3032443
"112","213842231",NA,NA,2.0103567,41.3033244
"113","213842232",NA,NA,2.0105574,41.3034324
"114","213842233",NA,NA,2.010619,41.3033677
"115","234754599",NA,NA,-3.7313641,43.3873047
"116","234754714",NA,NA,-3.7313939,43.3871611
"117","234754839",NA,NA,-3.7313003,43.3871503
"118","234754939",NA,NA,-3.7312704,43.3872945
"119","239562939","Garganes","station",-0.047921,38.6022259
"120","241896202","Orpesa","station",0.1399978,40.0922912
"121","244184062","Tafalla","station",-1.6712149,42.525751
"122","245938001",NA,NA,-9.1670324,38.760051
"123","246464601",NA,"station",-3.4787736,40.4424951
"124","246824210","Borriana - Les Alqueries","station",-0.1040509,39.8965047
"125","246824211","Almassora","station",-0.076922,39.9548766
"126","247377447","Veredas-Brazatortas","station",-4.3170979,38.6688122
"127","253168262","Boumerdès","station",3.4741786,36.7532614
"128","253168288","Corso","station",3.4355232,36.7537749
"129","253168304","Boudouaou","station",3.4128195,36.740326
"130","253999769","Rouiba","station",3.2828683,36.7341873
"131","254008647","Dar El Beida","station",3.210803,36.7146164
"132","254011000","Oued Smar","station",3.171869,36.7038346
"133","254453384","Toledo","station",-4.0108266,39.8625625
"134","254489948","Aranda de Duero","station",-3.6969435,41.6687676
"135","255454508","Cabezón de Pisuerga","station",-4.6511489,41.7371444
"136","256076380","Santa Cruz de la Zarza","station",-3.1805818,39.9729308
"137","256976574","Praça de Espanha","station",-9.1592473,38.737684
"138","256978160","Jardim Zoológico","station",-9.1689132,38.7420882
"139","256978165","Laranjeiras","station",-9.1730362,38.7482497
"140","256978170","Alto dos Moinhos","station",-9.1797946,38.7498954
"141","256979289","Carnide","station",-9.1927134,38.7592285
"142","256981325","Amadora Este","station",-9.2183301,38.7584244
"143","257347410","Soria","station",-2.4753637,41.7554573
"144","258415358","Mave","station",-4.2757294,42.7233624
"145","258497300","Reinosa","station",-4.1409102,42.9941355
"146","258983214","Fuengirola","station",-4.623976,36.5418102
"147","259009677","La Colina","station",-4.4923719,36.6421595
"148","259009686","Los Álamos","station",-4.4855,36.6447488
"149","259044351","Gata","station",0.0873865,38.7752231
"150","259092311","El Casar","station",-3.7096898,40.3185283
"151","259092315","Valdemoro","station",-3.6646626,40.1960111
"152","259092316","Ciempozuelos","station",-3.6099165,40.1591185
"153","259183803","Les Palmes","station",-0.0016131,40.0233663
"154","259625422","Cádiz","station",-6.2868833,36.5279393
"155","259637319",NA,NA,2.7164534,39.6151644
"156","259637320",NA,NA,2.7163418,39.6152504
"157","259637321",NA,NA,2.7170886,39.6158058
"158","259637322",NA,NA,2.7171916,39.6157198
"159","259653190",NA,NA,-3.7613235,40.3861317
"160","259653191",NA,NA,-3.7611711,40.3862141
"161","259653192",NA,NA,-3.7602036,40.3851944
"162","259653193",NA,NA,-3.7603601,40.3851087
"163","260383905","Cortadura","station",-6.268106,36.4943578
"164","261006106","la Pobla de Lillet","station",1.964948,42.2413231
"165","263967320","Huelves","station",-2.8834811,40.0441892
"166","264034596","El Romeral","station",-3.429987,39.6940084
"167","264034930","Villacañas","station",-3.3302642,39.6221538
"168","264605155","Masies","station",-0.4052632,39.5665085
"169","266131580","Villaverde de Pontones","station",-3.7036647,43.4112444
"170","270912777",NA,NA,-8.2312383,43.4883128
"171","270912778",NA,NA,-8.2314273,43.4881225
"172","270912780",NA,NA,-8.2307828,43.4877877
"173","270912781",NA,NA,-8.2305774,43.4879828
"174","274618728","Frómista","station",-4.4022767,42.2648338
"175","277035830","Navalmoral de la Mata","station",-5.5456643,39.8949868
"176","279993287","Le Boulou-Le Perthus","station",2.8276245,42.5248776
"177","280756908","Maury","station",2.587384,42.8093479
"178","280949677","Caudiès-de-Fenouillèdes","station",2.3725574,42.8106973
"179","281026169","Font-Romeu-Odeillo-Via","station",2.03839,42.4912208
"180","283110870",NA,NA,-4.1337518,40.5819866
"181","283488176",NA,NA,-4.0072955,40.625582
"182","283498149","Sabugo","station",-9.3000257,38.8305406
"183","283499600","Mafra","station",-9.2913723,38.897459
"184","283501578",NA,NA,-4.0097848,40.6264395
"185","283528340","Caroubier","station",3.1193518,36.7353435
"186","283529874","Agha","station",3.0571896,36.7678826
"187","283561189","Dois Portos","station",-9.1845906,39.0425555
"188","283613546","Cases-de-Pène","station",2.7931033,42.7790421
"189","283613664","Espira-de-l'Agly","station",2.833404,42.7722782
"190","286312132",NA,NA,-4.1325505,40.5840986
"191","287328647",NA,NA,-4.0472438,40.6091159
"192","287329408","Las Zorreras","station",-4.0459606,40.6094619
"193","287342583",NA,NA,-9.2153139,38.7476066
"194","287342605",NA,NA,-9.215336,38.7475711
"195","287342627",NA,NA,-9.2153714,38.747514
"196","287354099",NA,NA,-9.2214697,38.7507325
"197","287354104",NA,NA,-9.2215392,38.7505608
"198","287354107",NA,NA,-9.221567,38.7504929
"199","287467020","Marcilla de Navarra","station",-1.7172237,42.3347126
"200","287569577",NA,NA,-4.1321893,40.5857147
"201","287569598",NA,NA,-4.1319189,40.5869109
"202","287911232","Estación de Begijar","station",-3.5184433,37.9747534
"203","287923993",NA,NA,-3.0152256,38.1775931
"204","289537852",NA,NA,-9.2581652,38.7591557
"205","289806645",NA,NA,-9.2581457,38.759198
"206","290037991",NA,NA,-9.2829054,38.7513392
"207","290293068",NA,NA,-9.3119463,38.7887085
"208","290295575",NA,NA,-9.3120621,38.7886565
"209","290295583",NA,NA,-9.3129622,38.7906175
"210","290296211",NA,NA,-9.3130571,38.7895947
"211","290296216",NA,NA,-9.3128953,38.7896383
"212","290296222",NA,NA,-9.3127768,38.789383
"213","290296228",NA,NA,-9.3129434,38.7893335
"214","290560717",NA,NA,-9.3220927,38.7847396
"215","290560720",NA,NA,-9.3221099,38.784708
"216","290560728",NA,NA,-9.3221992,38.7846658
"217","290560731",NA,NA,-9.3222173,38.7846213
"218","290560734",NA,NA,-9.3221926,38.7845407
"219","290560740",NA,NA,-9.3225088,38.7846384
"220","290560745",NA,NA,-9.3225235,38.78461
"221","290560749",NA,NA,-9.3212138,38.7842231
"222","290560759",NA,NA,-9.3211088,38.7842248
"223","290560761",NA,NA,-9.3194878,38.7837474
"224","290560795",NA,NA,-9.3194102,38.7839163
"225","290560827",NA,NA,-9.3210259,38.7843912
"226","290560828",NA,NA,-9.3210823,38.7844356
"227","290565024",NA,NA,-9.3424117,38.7975275
"228","290565025",NA,NA,-9.339934,38.7979162
"229","290565026",NA,NA,-9.339914,38.7978473
"230","290565027",NA,NA,-9.342392,38.7974548
"231","290854066",NA,NA,-9.3776541,38.8023178
"232","290854069",NA,NA,-9.375108,38.8023795
"233","290854071",NA,NA,-9.3750978,38.8021839
"234","290854072",NA,NA,-9.3776439,38.8021167
"235","291282434","Marrón","station",-3.4210458,43.3465255
"236","291929437","Dueñas","station",-4.5406135,41.871245
"237","295249206","Son Sardina (FS)","station",2.6609239,39.6202646
"238","295249249","Bunyola","station",2.6941475,39.6974505
"239","295249299","Mirador des Pujol d’en Banya","station",2.7063551,39.7605908
"240","295249363","Sóller","station",2.7151232,39.7646765
"241","297605733","Fontpédrouse Saint-Thomas les Bains","station",2.188511,42.5138022
"242","297916627",NA,NA,-2.4552574,36.8350098
"243","297916628",NA,NA,-2.4554177,36.8353965
"244","297916630",NA,NA,-2.4546262,36.8356093
"245","297916631",NA,NA,-2.4547457,36.8356626
"246","297916632",NA,NA,-2.4550041,36.835592
"247","297916633",NA,NA,-2.4550237,36.8356285
"248","297916634",NA,NA,-2.4553554,36.8355379
"249","297916635",NA,NA,-2.455431,36.8355158
"250","297916636",NA,NA,-2.455613,36.8355229
"251","297916637",NA,NA,-2.455563,36.8354118
"252","297916638",NA,NA,-2.4556297,36.835394
"253","297916639",NA,NA,-2.4556376,36.8354146
"254","297916640",NA,NA,-2.4557598,36.8353823
"255","297916641",NA,NA,-2.4553676,36.8347989
"256","297916645",NA,NA,-2.455496,36.8347628
"257","299093381",NA,NA,-4.0226269,40.6396389
"258","299705643",NA,NA,-4.02185,40.6384589
"259","301126874","Vila Fernando","halt",-7.1479936,40.4977825
"260","301981874",NA,NA,-3.0151137,43.3186292
"261","301981875",NA,NA,-3.0149071,43.3185523
"262","301981876",NA,NA,-3.0150607,43.3187047
"263","304201017","Elx-Carrús","station",-0.7064731,38.2692173
"264","304982112","Casa Branca","station",-8.1582156,38.498227
"265","305436399",NA,NA,-8.4100805,43.3519884
"266","305436400",NA,NA,-8.410652,43.3523309
"267","305436401",NA,NA,-8.4109242,43.3521305
"268","305436403",NA,NA,-8.4110881,43.3522463
"269","305436405",NA,NA,-8.4104184,43.3527524
"270","305436406",NA,NA,-8.4103268,43.3526893
"271","305436407",NA,NA,-8.4100123,43.3529214
"272","305436409",NA,NA,-8.409942,43.3528692
"273","305436410",NA,NA,-8.4097708,43.3529734
"274","305436411",NA,NA,-8.4092493,43.3526171
"275","306632034","Vicálvaro Mercancías-Puerto Seco","station",-3.5720025,40.4308894
"276","307982182",NA,NA,-1.1320335,37.9748855
"277","307982190",NA,NA,-1.1310189,37.9747822
"278","309660848",NA,"subway_entrance",-3.8821035,40.5222007
"279","309910039",NA,NA,-3.8152462,40.3567943
"280","309910040",NA,NA,-3.815051,40.3569088
"281","310584882","Estación de Miraflores de la Sierra","station",-3.7511982,40.8072946
"282","313163346",NA,NA,-3.9589602,40.5758969
"283","313165047",NA,NA,-4.009949,40.6266558
"284","313165048",NA,NA,-4.0110957,40.6267373
"285","316419079",NA,NA,-2.9296077,43.2596989
"286","316419081",NA,NA,-2.9273718,43.2604423
"287","316419082",NA,NA,-2.9277424,43.260781
"288","316549413","Baba Ali","station",3.0510537,36.6661975
"289","316549483","Aïn Naâdja","station",3.0789795,36.6894156
